name,phone_number1,phone_number2,phone_number3,phone_number4,phone_number5,email1,email2,email3,email4,email5,si_no
Pete Rubish,112-123-4557,219-193-4967,914-193-4597,914-923-4597,914-193-4967,p.rubish@gmail.com,p.rubish@yahoo.com,pete.rubish@gmail.com,pete.rubish@yahoo.com,p.s@gmail.com,1
Marco Scantanoli,732-927-2433, , , , ,m.scan@gmail.com,m.scan@yahoo.com,marco.scan@gmail.com,marco.scan@hotmail.com,m.s@gmail.com,2
rupinder tinglehop,888-888-6969, , , , , , , , , ,3
chudrick lebrone, , , , , , , , , , ,4
Helen Jenkin,226-454-6742, , , , ,hjenkin@typo.com, , , , ,5
James Bond,007-007-0007, , , , ,j.bond@gmail.com, , , , ,6
Cool Guy,254-203-5545, , , , ,coolman@hotmail.com, , , , ,7
jeff bezos,858-432-6554, , , , ,bigjeff@aol.com, , , , ,8
Jason J.,951-420-6969, , , , ,jjones157@student.rccd.edu, , , , ,9
paul brindle,888-434-2222, , , , , , , , , ,10
aberfouth crimplebottom, , , , , , , , , , ,11
paul todder,888-888-8888, , , , ,pt@aol.com, , , , ,12
